"X1","X2","X3","X4","X5"
5.64641733249308e-16,-1.8580424857031e-16,-2.1852150628154e-16,-2.56237434319606e-17,-4.06138767188321e-17
7.71299328949494e-17,-1.32738344804398e-16,6.25426581486445e-17,-1.00434602892843e-17,2.37905097474099e-17
-3.07557033565042e-18,8.44646676509821e-17,-1.71678501064925e-16,9.87396233394642e-17,-2.49155777360029e-17
3.99379904073573e-17,-1.02870285037987e-16,7.3683829469654e-17,3.92891907270524e-17,-4.06433305942072e-17
-5.20526862318263e-17,9.83284079741466e-17,-2.39648621253804e-18,1.00552208841537e-16,-5.59695986191762e-17
1.40050110929512e-15,6.33273643076836e-16,-1.2371907084009e-15,-6.73777051350006e-16,8.18180580104345e-16
1.05438938546719e-16,-1.46925024608474e-17,-3.79070262681983e-18,1.08755360944854e-16,-1.162337318231e-16
-3.40344651084026e-18,1.31514426822649e-17,5.30705155598862e-18,5.14790531813383e-18,-1.1247201175283e-17
-3.61607137396314e-17,5.47965701420599e-17,-7.19723951883437e-17,5.4338739885451e-17,5.79002291774617e-18
1.19504708628841e-17,-8.4489244759541e-17,-4.71883327021569e-17,3.22574719901829e-17,-2.57545804306518e-17
-2.83502939074966e-17,2.58184335914843e-17,1.01213695449775e-17,-4.22364258498085e-17,1.73905283127453e-17
-2.30242635782047e-16,-1.97385559318022e-17,2.37185058126068e-16,-3.81897503266239e-16,1.87837969405073e-16
-2.39678482159836e-16,3.4484228365771e-16,-3.07672487221105e-16,-2.46516138906997e-17,1.66904854448958e-16
-3.51461729423941e-16,4.75789047461535e-16,1.54557478135651e-16,-5.90827559276322e-17,-4.71252174350425e-16
7.75982792971608e-17,-8.91347395911487e-17,4.05723578894707e-17,-3.61352429330133e-17,3.2808234872464e-17
2.31631092015722e-16,-9.70077254322785e-17,-6.56164656803592e-17,1.07035666590112e-16,-1.63213711721982e-16
-7.35884405184067e-17,1.56491042316474e-16,-1.40787384387939e-16,-4.25321169342684e-17,1.22202810309265e-16
2.02768558700222e-16,4.03762276653128e-16,-2.60883165561847e-15,1.16086530616713e-15,3.70185573960269e-16
5.89903935345782e-17,-1.1269289087775e-16,6.13765776330341e-17,-5.45631957117947e-17,8.19234060129992e-17
-6.48263681731801e-17,-1.1363365197512e-16,2.38300438754474e-16,-2.69263273315682e-17,8.11736532671453e-18
